superkingdom	phylum	class	order	family	genus	species	strain	taxid	ident	genome_size
								1546149	GCA_002214645.1	4061276
Archaea						Candidatus Pacearchaeota archaeon		2026773	GCA_002687975.1	557092
Archaea						Candidatus Pacearchaeota archaeon		2026773	GCA_002688015.1	591970
Archaea						Candidatus Pacearchaeota archaeon		2026773	GCA_002688165.1	631855
Archaea						Candidatus Pacearchaeota archaeon CG06_land_8_20_14_3_00_35_12		1974435	GCA_002780285.1	566508
Archaea						Candidatus Pacearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_31_59		1974439	GCA_002763115.1	635659
Archaea						Candidatus Pacearchaeota archaeon CG10_big_fil_rev_8_21_14_0_10_34_12		1974443	GCA_002794175.1	591010
Archaea						Candidatus Pacearchaeota archaeon CG1_02_30_18		1805293	GCA_001872125.1	555162
Archaea						Candidatus Pacearchaeota archaeon CG_4_10_14_0_2_um_filter_30_11		1974425	GCA_002792675.1	501816
Archaea						Candidatus Pacearchaeota archaeon CG_4_10_14_0_2_um_filter_31_10		1974426	GCA_002792655.1	604734
Archaea						Candidatus Pacearchaeota archaeon CG_4_9_14_3_um_filter_30_11		1974432	GCA_002790875.1	615849
Archaea						Candidatus Pacearchaeota archaeon RBG_13_33_26		1801880	GCA_001787285.1	579469
Archaea						Candidatus Pacearchaeota archaeon RBG_19FT_COMBO_34_9		1801883	GCA_001786415.1	599775
Archaea						archaeon BMS3Abin17		2005741	GCA_002897655.1	1091667
Archaea						archaeon BMS3Bbin16		2005739	GCA_002898035.1	1164696
Archaea						archaeon D22		1932700	GCA_002176885.1	499102
Archaea						archaeon GW2011_AR10		1579370	GCA_000830275.1	1241428
Archaea						archaeon GW2011_AR15		1579373	GCA_000830295.1	1157790
Archaea						archaeon HR01		2035437	GCA_002898355.1	1761185
Archaea						archaeon HR02		2035438	GCA_002898395.1	1733307
Archaea						archaeon HR03		2035439	GCA_002898595.1	393979
Archaea						archaeon HR04		2035440	GCA_002898655.1	1208457
Archaea						archaeon HR05		2035441	GCA_002898445.1	635432
Archaea						archaeon HR06		2035442	GCA_002898815.1	992123
Archaea						archaeon RBG_16_50_20		1797286	GCA_001768965.1	1337444
Archaea						archaeon SCG-AAA382B04		2137776	GCA_003034855.1	1422753
Archaea						uncultured archaeon A07HB70		1412872	GCA_000496195.1	2389822
